location,time,average,high,low
260,20010723,13,20,0
260,20010724,20,30,10
260,20010725,18,30,10
260,20010726,23,30,10
260,20010727,25,40,10
260,20010728,28,40,10
260,20010729,17,30,10
260,20010730,25,40,10
260,20010731,32,50,10
260,20010801,27,40,10
260,20010802,30,60,10
260,20010803,36,50,10
260,20010804,37,50,10
260,20010805,38,50,10
260,20010806,39,60,10
260,20010807,42,60,30
260,20010808,61,80,40
260,20010809,28,50,20
260,20010810,27,40,20
260,20010811,35,60,10
260,20010812,47,60,30
260,20010813,40,60,20
260,20010814,22,30,10
260,20010815,25,40,10
260,20010816,40,70,10
260,20010817,24,30,10
260,20010818,35,60,10
260,20010819,43,70,10
260,20010820,25,40,10
260,20010821,19,40,0
260,20010822,17,30,0
260,20010823,19,30,0
260,20010824,15,30,0
260,20010825,20,30,10
260,20010826,28,50,10
260,20010827,32,50,10
260,20010828,21,40,10
260,20010829,24,40,0
260,20010830,20,40,10
260,20010831,18,30,10
260,20010901,25,50,10
260,20010902,34,50,20
260,20010903,28,40,10
260,20010904,38,60,10
260,20010905,35,50,20
260,20010906,22,40,10
260,20010907,43,70,20
260,20010908,54,70,30
260,20010909,37,60,20
260,20010910,44,70,30
260,20010911,39,60,30
260,20010912,33,60,20
260,20010913,35,70,10
260,20010914,23,40,0
260,20010915,40,60,20
260,20010916,22,40,10
260,20010917,26,50,10
260,20010918,21,30,10
260,20010919,58,90,30
260,20010920,24,30,20
260,20010921,30,50,20
260,20010922,30,50,20
260,20010923,31,50,10
260,20010924,25,40,10
260,20010925,11,20,0
260,20010926,21,40,10
260,20010927,35,50,20
260,20010928,28,40,20
260,20010929,25,40,20
260,20010930,41,60,20
260,20011001,67,80,40
260,20011002,50,90,30
260,20011003,45,70,30
260,20011004,43,70,20
260,20011005,30,40,20
260,20011006,33,50,20
260,20011007,48,70,30
260,20011008,61,80,50
260,20011009,61,80,50
260,20011010,56,70,40
260,20011011,44,60,20
260,20011012,24,30,20
260,20011013,21,30,10
260,20011014,31,40,20
260,20011015,34,50,20
260,20011016,19,30,10
260,20011017,31,40,20
260,20011018,26,40,0
260,20011019,25,40,0
260,20011020,31,50,10
260,20011021,37,60,20
260,20011022,39,60,10
260,20011023,33,40,20
260,20011024,31,50,20
260,20011025,29,40,10
260,20011026,45,60,30
260,20011027,38,60,20
260,20011028,26,40,20
260,20011029,43,60,20
260,20011030,63,70,60
260,20011031,57,90,20
260,20011101,23,40,10
260,20011102,22,40,10
260,20011103,21,30,10
260,20011104,30,40,10
260,20011105,27,60,10
260,20011106,48,70,30
260,20011107,32,50,10
260,20011108,48,100,10
260,20011109,23,50,0
260,20011110,33,50,10
260,20011111,24,40,10
260,20011112,25,60,10
260,20011113,30,50,20
260,20011114,25,40,10
260,20011115,13,20,0
260,20011116,12,20,0
260,20011117,10,20,0
260,20011118,15,20,0
260,20011119,8,10,0
260,20011120,25,50,10
260,20011121,68,90,40
260,20011122,47,70,20
260,20011123,29,40,20
260,20011124,23,40,10
260,20011125,33,50,20
260,20011126,12,20,0
260,20011127,33,70,10
260,20011128,34,50,30
260,20011129,46,60,20
260,20011130,28,40,20
260,20011201,39,60,10
260,20011202,20,30,10
260,20011203,18,30,0
260,20011204,52,80,40
260,20011205,52,80,20
260,20011206,33,80,0
260,20011207,10,20,0
260,20011208,24,40,20
260,20011209,26,40,10
260,20011210,11,20,0
260,20011211,13,20,0
260,20011212,29,40,20
260,20011213,39,60,30
260,20011214,31,40,20
260,20011215,24,40,10
260,20011216,27,40,10
260,20011217,13,30,0
260,20011218,16,20,0
260,20011219,35,60,20
260,20011220,30,60,0
260,20011221,51,70,20
260,20011222,27,60,10
260,20011223,31,60,10
260,20011224,72,90,50
260,20011225,47,90,30
260,20011226,30,40,20
260,20011227,56,80,40
260,20011228,77,100,50
260,20011229,25,50,10
260,20011230,30,50,10
260,20011231,19,30,10
270,20000101,39,50,20
270,20000102,47,70,30
270,20000103,73,90,30
270,20000104,49,110,20
270,20000105,55,70,40
270,20000106,66,80,30
270,20000107,62,90,30
270,20000108,60,90,30
270,20000109,30,40,20
270,20000110,30,50,20
270,20000111,66,80,50
270,20000112,70,80,50
270,20000113,54,80,40
270,20000114,34,50,20
270,20000115,30,40,20
270,20000116,58,80,30
270,20000117,88,110,60
270,20000118,109,130,70
270,20000119,53,70,40
270,20000120,68,90,40
270,20000121,68,110,30
270,20000122,65,80,20
270,20000123,29,60,10
270,20000124,27,40,20
270,20000125,32,40,20
270,20000126,46,60,30
270,20000127,68,80,50
270,20000128,88,110,60
270,20000129,125,150,100
270,20000130,85,140,30
270,20000131,94,150,40
270,20000201,90,100,70
270,20000202,75,100,40
270,20000203,58,90,30
270,20000204,91,120,40
270,20000205,70,90,50
270,20000206,63,90,50
270,20000207,88,110,70
270,20000208,105,130,60
270,20000209,100,140,60
270,20000210,83,120,60
270,20000211,58,90,40
270,20000212,80,120,60
270,20000213,70,90,40
270,20000214,48,70,30
270,20000215,55,70,40
270,20000216,70,110,20
270,20000217,52,100,30
270,20000218,60,90,40
270,20000219,76,110,30
270,20000220,35,60,20
270,20000221,35,50,10
270,20000222,33,50,10
270,20000223,36,70,10
270,20000224,63,90,30
270,20000225,58,90,30
270,20000226,40,70,20
270,20000227,70,90,40
270,20000228,84,130,50
270,20000229,82,120,40
270,20000301,72,90,50
270,20000302,87,130,40
270,20000303,105,160,40
270,20000304,85,120,50
270,20000305,49,60,30
270,20000306,91,110,70
270,20000307,100,130,70
270,20000308,110,130,70
270,20000309,101,140,50
270,20000310,50,90,10
270,20000311,86,130,10
270,20000312,33,60,10
270,20000313,38,50,10
270,20000314,78,110,50
270,20000315,89,110,80
270,20000316,60,100,20
270,20000317,73,90,60
270,20000318,81,100,50
270,20000319,34,60,10
270,20000320,21,30,10
270,20000321,22,40,10
270,20000322,18,30,0
270,20000323,43,60,10
270,20000324,46,60,30
270,20000325,35,50,20
270,20000326,33,60,10
270,20000327,48,70,10
270,20000328,79,100,40
270,20000329,89,100,70
270,20000330,55,80,10
270,20000331,23,40,10
270,20000401,18,40,10
270,20000402,38,50,20
270,20000403,40,60,10
270,20000404,54,100,10
270,20000405,78,100,40
270,20000406,30,50,10
270,20000407,30,50,10
270,20000408,26,50,10
270,20000409,64,100,30
270,20000410,45,80,20
270,20000411,25,40,10
270,20000412,43,70,20
270,20000413,41,70,30
270,20000414,35,60,10
270,20000415,40,80,0
270,20000416,65,90,20
270,20000417,60,80,40
270,20000418,55,80,30
270,20000419,37,50,10
270,20000420,46,80,20
270,20000421,42,80,10
270,20000422,33,60,10
270,20000423,26,50,10
270,20000424,32,50,10
270,20000425,57,80,40
270,20000426,49,80,20
270,20000427,43,80,20
270,20000428,22,40,0
270,20000429,30,60,10
270,20000430,20,30,10
270,20000501,31,50,10
270,20000502,51,60,40
270,20000503,49,60,20
270,20000504,43,60,10
270,20000505,43,80,20
270,20000506,55,70,40
270,20000507,54,70,30
270,20000508,33,50,20
270,20000509,19,40,10
270,20000510,37,60,10
270,20000511,51,70,20
270,20000512,57,80,30
270,20000513,39,60,10
270,20000514,17,30,0
270,20000515,10,30,0
270,20000516,28,70,10
270,20000517,67,110,30
270,20000518,50,80,10
