Country;Indicator;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithuania;Researchers (FTE) - % Female;4.6;4.6;4.2;4.4;4.3;4.5;49;4.6;5.1;5.4;5.8;4.9;5.2
;Researchers (HC) - % Female;45;47;4.7;4.3;4.6;4.6;4.3;5.4;5.4;51;5.2;5.1;5.4
;Researchers (FTE) - Natural sciences %;2.8;2.1;2.8;27;2.8;2.1;2.7;2.1;2.9;2.7;2.3;2.5;2.3
;Researchers (FTE) - Engineering and technology %;2.7;1.1;1.8;1.6;1.2;17;1.7;1.2;1.4;1.3;1.1;1.7;1.3
;Researchers (FTE) - Medical and health sciences %;.6;1.5;1.8;1.2;1.1;1.7;1.4;1.3;1.5;1.9;.1;7;.9
;Researchers (FTE) - Agricultural sciences %;.3;.7;.8;.9;.6;.6;.2;.5;.1;.9;.8;.2;.4
;Researchers (FTE) - Social sciences %;1.4;1.2;1.8;1.2;1.6;1.6;1.7;1.3;1.2;1.9;1.7;1.5;2.8
;Researchers (FTE) - Humanities %;1.5;1.3;1.8;1.4;1.2;1.6;1.4;1.4;16;1.3;1.5;1.8;13
;Researchers (FTE) - Not specified fields %;.7;.2;.2;.7;.6;.4;11;1.4;1.9;13;1.4;1.3;1.4
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;4.9;3.7;4.9;4.1;4.4;4.2;4.4;4.5;4.3;44;45;4.6;4.2
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;24;2.5;2.8;2.7;2.9;2.4;30;3.7;3.5;3.9;3.4;3.8;3.1
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;58;5.3;5.8;5.8;5.1;5.6;5.9;6.4;6.9;63;6.4;6.7;6.5
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;4.4;45;5.2;5.5;5.5;5.8;5.9;5.3;5.5;6.2;6.8;5.8;5.1
;Female researchers as a percentage of total researchers (FTE) - Social sciences;55;5.6;5.3;5.8;5.8;6.5;62;64;6.9;6.5;6.2;65;6.3
;Female researchers as a percentage of total researchers (FTE) - Humanities;5.9;6.3;6.9;6.1;5.1;6.8;6.8;6.8;6.7;6.4;6.7;64;7.2
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;4.9;4.3;3.2;38;3.4;3.7;36;2.6;3.2;36;3.2;3.9;3.6
Luxembourg;Researchers (FTE) - % Female;0;0;0;0;0;1.6;0;0;0;2.3;0;2.2;0
;Researchers (HC) - % Female;0;0;0;1.4;0;1.2;0;2.1;0;2.2;0;24;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Madagascar;Researchers (FTE) - % Female;0;3.8;3.6;3.8;3.9;3.9;3.7;3.2;3.7;3.7;3.8;3.2;0
;Researchers (HC) - % Female;0;3.6;3.2;3.2;3.5;35;3.9;3.2;34;3.9;3.2;3.4;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;2.1;0;3.2;0;2.6;0;3.1;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;1.7;0;1.2;0;18;0;1.7;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;1.7;0;.3;0;.3;0;.8;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;.9;0;1.3;0;1.1;0;.9;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;1.5;0;1.1;0;1.4;0;1.7;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;1.2;0;.8;0;1.4;0;1.4;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;.3;0;.4;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;3.6;0;3.8;0;28;0;3.6;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;2.1;0;1.7;0;1.8;0;2.1;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;3.5;0;36;0;4.2;0;33;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;3.4;0;3.8;0;2.9;0;2.5;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;3.8;0;4.3;0;4.4;0;4.9;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;4.2;0;4.6;0;3.3;0;4.1;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;4.8;0;39;0
Malawi;Researchers (FTE) - % Female;0;0;0;0;0;0;0;2.9;0;0;1.5;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;2.2;0;0;1.5;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;1.5;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;2.3;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;19;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;1.8;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;1.3;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;1.1;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;1.8;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;.2;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;1.7;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;1.9;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;2.6;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;3.8;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Malaysia;Researchers (FTE) - % Female;3.8;0;3.2;0;3.1;0;3.8;0;4.2;4.7;4.1;4.8;47
;Researchers (HC) - % Female;0;0;0;0;3.8;0;3.7;0;4.9;5.9;4.8;4.7;4.9
;Researchers (FTE) - Natural sciences %;0;0;2.6;0;2.1;0;2.7;0;3.7;2.2;3.5;3.2;28
;Researchers (FTE) - Engineering and technology %;0;0;5.1;0;4.4;0;48;0;3.7;4.2;3.7;3.1;4.7
;Researchers (FTE) - Medical and health sciences %;0;0;.9;0;.2;0;8;0;.1;.9;1.7;1.5;.9
;Researchers (FTE) - Agricultural sciences %;0;0;.8;0;.6;0;.7;0;.3;.8;.5;.7;.1
;Researchers (FTE) - Social sciences %;0;0;.2;0;1.3;0;.9;0;.7;1.3;1.6;1.5;1.4
;Researchers (FTE) - Humanities %;0;0;.4;0;.4;0;.2;0;.5;.8;4;.9;.9
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;.5;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;4.5;0;4.3;0;4.1;4.7;4.6;4.7;46
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;2.8;0;2.2;0;3.1;46;4.1;4.4;4.9
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;5.9;0;5.9;0;5.4;5.2;5.7;4.6;4.3
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;4.3;0;4.8;0;4.6;47;4.5;4.9;4.7
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;4.3;0;4.2;0;4.9;4.5;4.5;4.4;4.7
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;3.1;0;37;0;60;52;4.9;4.4;4.7
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;5.4;0;0;0;0;0;0
Mali;Researchers (FTE) - % Female;0;0;0;0;0;0;1.3;0;0;0;1.1;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;1.1;1.6;0;0;16;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;40;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;.2;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;1.9;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;1.1;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;1.9;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;7;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;.3;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;2.3;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;1.6;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;2.4;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;1.7;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;1.1;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Malta;Researchers (FTE) - % Female;0;0;0;0;25;2.3;2.3;25;2.5;2.1;2.7;25;2.2
;Researchers (HC) - % Female;0;0;0;0;2.6;2.2;2.1;2.1;2.7;2.4;2.1;2.9;2.5
;Researchers (FTE) - Natural sciences %;0;0;1.3;0;0;14;1.2;1.3;2.6;2.4;2.9;3.1;3.9
;Researchers (FTE) - Engineering and technology %;0;0;2.4;0;0;3.4;3.6;3.8;3.1;3.2;3.9;3.6;3.5
;Researchers (FTE) - Medical and health sciences %;0;0;2.5;0;0;2.2;2.8;1.1;2.8;1.8;1.2;.1;1.5
;Researchers (FTE) - Agricultural sciences %;0;0;.5;0;0;.9;.3;.6;.8;.4;.8;3;.5
;Researchers (FTE) - Social sciences %;0;0;2.3;0;0;1.4;1.7;1.8;1.5;1.8;1.4;13;1.6
;Researchers (FTE) - Humanities %;0;0;1.7;0;0;.5;.9;.7;.2;.7;.2;.7;.7
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;.6;.8;.8;.9;.8;.8;.5;.3
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;1.9;1.2;2.3;2.5;2.3;2.1;2.5;2.6
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;1.4;1.9;1.4;1.5;1.8;1.7;1.3;18
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;4.4;4.9;3.4;4.4;5.5;5.4;5.6;5.7
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;1.1;25;2.1;30;25;2.5;2.7;2.7
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;3.5;3.8;3.8;3.1;3.7;3.2;4.4;40
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;29;2.2;2.1;2.1;1.4;2.3;2.6;2.1
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;2.7;20;0;0;0;20;1.8;2.7
Mauritius;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;4.4
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;4.9
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;2.1
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;.7
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;.6
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;4.6
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;1.4
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;.7
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;.9
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;3.8
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;2.6
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;4.6
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;43
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;5.6
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;4.5
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;58
Mexico;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;3.6;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;1.4;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;3.1;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;1.3;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;.7;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;1.2;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;.1;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Monaco;Researchers (FTE) - % Female;0;0;0;0;4.4;50;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;4.4;50;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;100;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;50;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Mongolia;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;4.2;4.8;4.6;4.6;4.3;4.2;4.1;4.4;4.1;4.7;4.2;4.6
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Montenegro;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;4.7;0
;Researchers (HC) - % Female;0;0;0;39;3.5;3.8;3.4;4.3;0;0;0;4.9;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;.8;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;2.9;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;1.4;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;.1;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;2.9;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;.8;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;1.2;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;6.2;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;35;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;5.2;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;6.5;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;55;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;3.6;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Morocco;Researchers (FTE) - % Female;0;0;0;0;0;0;2.8;3.7;2.5;0;3.3;3.8;0
;Researchers (HC) - % Female;26;2.6;2.4;2.8;2.1;2.5;2.2;2.2;2.6;0;3.2;3.2;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;3.9;0;3.9;0;2.4;34;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;.5;0;.4;0;.3;.4;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;.4;0;.7;0;1.3;.7;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;.4;0;.1;0;.9;.6;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;2.3;0;2.6;0;2.7;2.9;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;2.9;0;2.7;0;2.4;2.4;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;1.6;0;.4;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;3.3;0;3.6;0;4.2;3.2;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;2.2;0;1.5;0;2.1;2.8;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;4.5;0;3.1;0;4.4;4.9;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;22;0;2.2;0;2.1;2.9;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;2.9;0;2.2;0;2.5;2.1;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;2.9;0;2.1;0;2.4;29;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;24;0;0;0;0
Mozambique;Researchers (FTE) - % Female;0;0;0;0;0;0;3.5;0;3.3;3.7;3.2;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;3.5;0;3.3;3.7;3.2;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;1.6;0;0;0;1.3;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;.2;0;0;0;22;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;.5;0;0;0;1.2;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;4.8;0;0;0;.9;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;2.1;0;0;0;3.1;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;.5;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;.8;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;3.3;0;0;0;2.8;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;.8;0;0;0;2.9;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;40;0;0;0;5.1;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;3.2;0;0;0;2.4;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;3.6;0;0;0;2.9;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;6.5;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;3.3;0;0;0;0;0;0
Myanmar;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;8.2;8.5;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Namibia;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;0;4.7;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
