"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value"
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2010","2010",60075
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2011","2011",62895
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2012","2012",64732
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2013","2013",66406
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1996","1996",143720
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1997","1997",145690
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1998","1998",147862
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1999","1999",153341
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2000","2000",167940
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2001","2001",179180
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2002","2002",183240
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2003","2003",196380
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2004","2004",210470
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2005","2005",218590
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2006","2006",229050
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2007","2007",248640
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2008","2008",256650
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2009","2009",236760
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2010","2010",233060
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2011","2011",236590
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2012","2012",223930
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","1996","1996",23501
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","1997","1997",23230
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","1998","1998",22740
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","1999","1999",24106
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2000","2000",24198
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2001","2001",26107
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2002","2002",26032
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2003","2003",27957
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2004","2004",28765
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2005","2005",43370
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2006","2006",47729
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2007","2007",49192
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2008","2008",50808
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2009","2009",50961
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2010","2010",52290
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2011","2011",55697
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2012","2012",60329
"20000","Total R&D personnel (FTE) - Total ","CZE","Czech Republic","2013","2013",61976
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1996","1996",32148
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1997","1997",34187
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1998","1998",35194
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1999","1999",36452
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2000","2000",37693
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2001","2001",39892
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2002","2002",42406
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2003","2003",41607
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2004","2004",42687
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2005","2005",43499
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2006","2006",44878
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2007","2007",46897
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2008","2008",58589
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2009","2009",55918
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2010","2010",56623
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2011","2011",57585
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2012","2012",58657
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2013","2013",58530
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","1997","1997",41256
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","1998","1998",46517
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","1999","1999",50604
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2000","2000",52604
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2001","2001",53424
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2002","2002",55044
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2003","2003",57196
